UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing;life span;
d601d54e-a2eb-42bb-b32b-c59d1b2332a9;00.04.000;Holzfaserdämmstoff;Dämmstoffe / Holzfasern / Holzfaserdämmplatte;average dataset;1;m3;c452761e-9dfe-257a-9b97-1d707e76c11f;1 m³ Holzfaserdämmstoff Additional Info from Xml: Grundstoffe / Hilfsstoffe: Nadelholz 82,8%, Wasser, 6,0%, Klebstoffe 1,2%, Bindefaser 1,3%, Recyclingpapier 6,3%, Brandhemmer 2,4%, sonstige Hilfsstoffe 0,1%, Erläuterung des Produktionsablaufes Nassverfahren: Verarbeitung des Rohholzes zu Hackschnitzeln, Erhitzen der Hackschnitzel unter Dampfdruck, Zerfaserung der Hackschnitzel durch Defibrationsverfahren, Vermischung der Fasern mit Wasser zu einem Faserbrei (ggf. Zugabe der notwendigen Zusatzstoffe), Formung des Platte durch Pressen, Trocknen der Platten (ca. 160°C – 200°C), Verleimung, Zuschnitt und Profilierung, Abstapelung, Verpackung, Erläuterung des Produktionsablaufes Trockenverfahren: analogNassverfahren bis Zerfaserung im Defibrationsverfahren, Trocknung der Fasern im Stromrohrtrockner, Zumischung der Bindefaser, Aufgabe des Gemenges auf die Produktionslinie, Erwärmen und Pressen des Gemenges zur Dämmmatte, Zuschnitt, Abstapelung, Verpackung, Alle während der Produktion anfallenden Reststoffe werden entweder erneut der Produktion zugeführt oder intern einer energetischen Verwertung zugeführt, Deklarierte Einheit: die deklarierte Einheit ist 1 m³ Holzfaserdämmstoff mit einer mittleren Rohdichte von 157,5 kg/m³ Technische Daten: Die folgenden Angaben beziehen sich auf die Produktlinie STEICOtherm. Angaben zu weiteren im Gültigkeitsbereich dieser EPD genannten Produkte sind unter www.steico.net einsehbar. Deklarierte Einheit: Die deklarierte Einheit ist 1m³ Holzfaserdämmstoff mit einer mittleren Rohdichte von 157,49 kg.Die Berechnung der Rohdichte und der Inhaltsstoffanteile der deklarierten Einheit erfolgte über die produktionsvolumengewichtete Durchschnittsbildung der im Werk hergestellten Produkte.;;;157,49;;;;0,00635;true;true;false;true;40;
6bb3b483-7640-42f0-ba34-f9b7efbf0dba;00.04.000;Mehrschichtparkett;Holz / Holzböden / Parkett;average dataset;1;qm;8ee494a5-3551-3e4d-60b2-37a626235d65;1 m² Schichtparkett Additional Info from Xml: Zwei- und mehrschichtigen Parkettböden, Mehrschichtparkett. Mehrschichtige Parkettböden sind in Lagen aufgebaute Holzböden, die eine Deckschicht von mindestens 2,5 mm Dicke haben. Sie können 2-lagig mit Trägerplatte aus Vollholz oder Holzwerkstoffen und einer dekorativen Deckschicht, oder 3-lagig mit einer zusätzlichen Gegenzuglage ausgestattet sein. Mehrschichtparkette sind Holzbodenbeläge für die private und gewerbliche Nutzung im Innenbereich, die entweder auf Estrich, oder auf bestehenden anderen Unterböden wie Holz, Fliesen, PVC schwimmend verlegt oder verklebt oder mit sonstigen Befestigungsmitteln fixiert sind. Zur Herstellung von Mehrschichtparkett werden Rundhölzer, frische Schnitthölzer, kammergetrocknete Schnitthölzer oder Hobelware eingesetzt. Daneben kommen teilweise Sperrhölzer und HDF Platten zum Einsatz. Die Schichten werden zunächst getrennt hergestellt. Die Deckschicht wird aus Vollholzelementen zusammengesetzt. Die Mittellage kann aus Holzwerkstoffen oder massiven Einzelteilen bestehen. Im Falle des 3-lagigen Aufbaus wird ein Gegenzug genutzt. Die einzelnen Lagen werden nach Aufbringung von Klebstoffen zusammengepresst und aufgetrennt. Technische Daten: Folgende technische Daten für Mehrschichtparkette sind zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist 1m² Schichtparkett bis zum Werkstor der Herstellung. Es wird ein durchschnittliches Produkt gemittelt aus mehreren Werken der Unternehmen des Verbandes deklariert.;;;;;;;0,113;true;true;false;true;40;
2c5406bc-f977-4ece-af99-7db29f20ff61;00.03.000;Massivholzböden und Massivholzparkett;Holz / Holzböden / Parkett;average dataset;1;qm;509c09bd-d363-e8ae-4a27-b138a00127c6;1m² Massivholzboden Additional Info from Xml: Einschichtige Massivholzböden und Massivparkett. Massivholzböden sind einschichtige Bodenbeläge aus massivem Holz in Form von Massivholzparkett (Stab-, Riemen, Lam-, Tafel-, Mosaikparkett, Parkettblock, Hochkantlamelle, Breitlammelle, Modulklotz) oder Massivholzdielen. Die Böden haben Dicken zwischen 8 und 40 mm zur Verwendung im Innenbereich. Zur Herstellung von einschichtigen Massivholzböden wird getrocknetes Schnittholz oder Hobelware in mehreren Schritten zu verlegbaren, massiven Einzelelementen verarbeitet. Beginnend mit dem Einschnitt des Rundholzes zu Bohlen und Brettern werden diese in mehreren Arbeitsgängen zu trocknen Rohlingen für die Endproduktion vorbereitet. Je nach Produkt werden daraus in unterschiedlichen zerspanenden Prozessen verlegbare, massive Elemente in den erwünschten Dimensionen der Einzelelemente je m² Bodenfläche hergestellt. Technische Daten: Folgende technische Daten für Massivholzböden sind zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist 1m² Massivholzparkett bis zum Werkstor der Herstellung. Die Zusammensetzung entspricht dem nach Produktionsvolumen gewichteten Durchschnitt.;;11,71;;;;;0,085;true;true;false;true;50;
36375bd3-f8d5-4291-9335-93d4f429ce70;00.04.000;MSH-Profile;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1;m3;0f42ea0d-3a1c-1a2f-e44a-5916fe05996f;1 lfm Stahlschutzplanke Additional Info from Xml: siehe EPD Technische Daten: Die mechanisch-technologischen Eigenschaften von warmgefertigten Hohlprofilen können der Liefernorm /DIN EN 10210/ Teil 1, Tabelle A.3 (unlegierte Baustähle) bzw. Tabelle B.3 (Feinkornbaustähle), entnommen werden Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 t Stahlbau-Hohlprofil.;;;7850;;;;;true;true;false;true;80;
2c127685-17be-41df-8cc4-1f3720813a7e;00.04.000;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;average dataset;1;m3;cd52d5c7-caef-9a92-ae10-bd8650fa9eac;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2 / 1kg Additional Info from Xml: flexibilisierter Fliesenkleber zusammengesetzt aus verschiedenen Zementen, Füllstoffen wie Quarzsand und Kalksteinmehl, Dispersionspulver zur Flexibilisierung sowie Additiven wie Stabilisierungsmittel und Abbinderegler, hergestellt im diskontinuierlichen Chargenbetrieb Technische Daten: Die Fliesenkleber PCI Flexmörtel, PCI Flexmörtel  S1 und PCI Flexmörtel  S2 entsprechen den Anforderungen der /DIN EN 12004/. Deklarierte Einheit: Die Verbands-EPD bezieht sich auf die deklarierte Einheit von 1 kg modifizierten, mineralischen Mörteln. Die Auswertungen beziehen sich auf das repräsentative (worst-case) Produkt je Gruppe, wobei die Daten für den Herstellungsprozess Durchschnittswerte verschiedener Hersteller und Werke sind. Auf die Angabe eines Verbrauchs pro Flächeneinheit wurde auf Grund der extrem unterschiedlichen Anwendungsbereiche und Rezepturen in dieser EPD verzichtet. Genaue Angaben dazu können in produktspezifischen Datenblättern der Hersteller entnommen werden.;;;1200;;;;;true;false;false;true;40;
c820c4a1-b7f6-4024-98d3-b737558988b8;00.03.000;PCI FT® Extra, PCI FT® Flex, PCI FT® Rapid;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;average dataset;1;m3;3805cb73-3ef7-9d5a-5107-e3c524fabce0;1 kg PCI FT® Extra, PCI FT® Flex oder PCI FT® Rapid Additional Info from Xml: Flexibilisierter Fliesenkleber zusammengesetzt aus verschiedenen Zementen, Füllstoffen wie Quarzsand und Kalksteinmehl, Dispersionspulver zur Flexibilisierung sowie Additiven wie Stabilisierungsmittel und Abbinderegler, hergestellt im diskontinuierlichen Chargenbetrieb Technische Daten: Die Fliesenkleber PCI FT® Extra, PCI FT® Flex und PCI FT® Rapid entsprechen den Anforderungen der /DIN EN 12004/. Deklarierte Einheit: Die Verbands-EPD bezieht sich auf die deklarierte Einheit von 1 kg modifizierten, mineralischen Mörteln. Die Auswertungen beziehen sich auf das repräsentative (worst-case) Produkt je Gruppe, wobei die Daten für den Herstellungsprozess Durchschnittswerte verschiedener Hersteller und Werke sind.;;;1,2;;;;;true;false;false;true;40;
7634a4f9-7057-4052-9a0a-6bece315dd8e;00.07.000;Spannbeton-Fertigteildecken;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;8ce49180-d9ba-5392-faf7-c40109817bb0;1m² Spannbeton- Fertigteildecke, (26,5 cm Deckendicke,C45/C55) Additional Info from Xml: Die deklarierten Produkte sind vorgespannte Fertigteile aus Beton unterschiedlicher Formate und Größen zur Verwendung als Deckenbauteil. Der Beton wird aus Gesteinskörnungen (Zuschlägen), Wasser, hydraulischen Bindemitteln (Zement), Zusatzmitteln und Zusatzstoffen hergestellt. Außer dem Spannstahl ist keine weitere Bewehrung nötig. Für die Herstellung der Spannbeton-Fertigteildecken werden kaltgezogene Spannstahllitzen und- Drähte verwendet. Es handelt sich dabei um hochfeste Stähle. Die Spannbeton-Fertigdecken werden mit Extrudern und Gleitfertiger auf beheizbaren Stahlbahnen als Hohlquerschnitte mit der erforderlichen Dicke und Spannbewehrung gefertigt. Nach der entsprechenden Aushärtungszeit des Betons, sodass eine Festigkeit erreicht ist, die es zulässt, die Deckenelemente weiter zu bearbeiten, werden die Deckenelemente auf die gewünschte Länge gesägt und auf dem Werksgelände zwischengelagert. Technische Daten: Es gilt die Allgemeine bauaufsichtliche Zulassung (/abZ/) Z-15.10-279 („Verwendung von Spannbeton-Hohlplatten nach /DIN EN 1168:2011-12/ und /DIN EN 1992-1-1:2011-01/ System BRESPA“) des Deutschen Instituts für Bautechnik, Berlin, vom 1.12.2014. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von einem Quadratmeter (1 m²) Fertigteildecken aus Spannbeton, hergestellt aus Zuschlägen der genannten Zusammensetzung. Die Durchschnittsbildung erfolgte absatzbezogen auf Basis der in den Werken der DW Systembau GmbH hergestellten Spannbeton-Fertigteildecken.;;360,37;1357;26,5563743552;;;;true;false;true;true;100;
889237e5-dd00-4e30-8494-a90eea9c4ab9;00.04.000;Thermofloc;Dämmstoffe / Zellulosefaser / Zellulose-Einblas-Dämmstoff;average dataset;1;m3;203859a0-1795-99b0-74ab-10d2a08af641;1 kg Thermofloc Zellulosedämmstoff Additional Info from Xml: Sortenreines Tageszeitungspapier wird mit Hilfe eines Staplers der Anlage zugeführt. Über ein Förderband gelangen die Tageszeitungen in den Schredder, wo das Papier zerkleinert wird. Das zerkleinerte Tageszeitungspapier wird in den Vorbehälter weitertransportiert, von wo aus es aus über Wiegebänder in die Refiner gelangt. In den Refinern wird das Papier zerfasert und mit mineralischen Additiven imprägniert. Über Rohrleitungen wird der Zellulosedämmstoff in einen Filter-Vorbehälter und von dort aus zur Absackung weitertransportiert, wo der Zellulosedämmstoff in Säcken luftdicht verpackt wird. Technische Daten: In folgender Tabelle sind die technischen Daten des Produktes zu sehen. Deklarierte Einheit: Für das Produkt Thermofloc wurden die erforderlichen Module gemäß EN 15804 für eine Ökobilanz „von der Wiege bis zum Werkstor mit Optionen“ gewählt. Die betrachteten Module A1 bis A3, A4 bis A5, C1 bis C4 sowie das Modul D wurden gemäß der PCR für Dämmstoffe aus Zellulosefasern für 1 kg Dämmung gewählt und deklariert.;;;45;;;;;true;false;true;true;40;
0d1e4a59-4901-4973-a26f-1698f65a780f;00.03.000;Betonpflastersteine;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;m3;d289bee6-9bc3-16b3-772e-2bc079ef5dd3;1 m2 Betonpflasterstein;;188;2350;0,08;;;;true;false;false;false;70;
e76bcf28-fc7d-408e-a554-6317256cb905;00.01.000;Betonpflastersteine;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;m3;51968ee4-9fb3-749c-f48e-7fc1c7d2d459;Betonpflastersteine, 8 cm [188 kg/m²];;188;2350;0,08;;;;true;false;false;false;70;
76ab64f6-6d08-4b67-8cd7-13d26e68d95a;20.20.010;Fußbodenbelag mehrschichtiges Nadelvlies (Dicke 0,006 m);Kunststoffe / Bodenbeläge / Textile Bodenbeläge;generic dataset;1;qm;55ec41c6-0c64-446b-b39c-ecd72b7ebed6;Nadelvlies Bodenbelag;;1,4;;;;;;false;true;false;true;10;
3b66b7be-bc1e-4dd4-8779-453d4f81825f;20.20.010;Mehrschichtparkett (Dicke 0,01 m);Holz / Holzböden / Parkett;generic dataset;1;qm;e3bfa0da-f3f3-44cd-aedf-28aa3152b92e;Parkett (Mehrschicht-);;6,5;;;;;;true;true;false;true;40;
f168113d-f78a-4bb2-bfcd-07c3daac8014;00.01.008;Floatglas - Guardian Europe S.à r.l. - Mirror / Ultra Mirror;Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;specific dataset;1;m3;b40f1b65-49b9-4c12-85fa-11cfbe9daf3e;Floatglas - Guardian Europe S.à r.l. - Mirror / Ultra Mirror;;;;0,000051;;;;true;false;false;false;30;
40902922-944b-4126-a6d0-49982eb2361e;00.01.008;Floatglas - Guardian Europe S.à r.l. - SatinDeco;Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;specific dataset;1;m3;9f5d7c97-b538-4092-bbf4-f81be3e98bf8;Floatglas - Guardian Europe S.à r.l. - SatinDeco;;;;0,004;;;;true;false;false;false;30;
9498de37-a640-4715-aaeb-07fe2631dad4;00.01.009;Floatglas - Guardian Europe S.à r.l. - Wet coating for painted glass;Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;specific dataset;1;m3;dfdc6da3-56d8-45f5-a72d-400fc2a0c303;Floatglas - Guardian Europe S.à r.l. - Wet coating for painted glass;;;;0,000045;;;;true;false;false;false;30;
14cac35f-a23d-44cd-a1f3-d86bc1d806d5;00.00.005;Tür - HT Laborẋ⦊횥뗧↞ GmbH - Schiebetür;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;specific dataset;1;m3;bc0c1d14-fe86-4924-82e3-f74ed9ad4860;Tür - HT Laborẋ⦊횥뗧↞ GmbH - Schiebetür;;117;29,25;0,04;;;;true;true;true;true;20;aus EPD
3e844136-06e8-4e9f-ba0c-7fc4ec7ee901;00.05.008;Trockenschüttung - Cemwood GmbH - Ausgleichschüttung;Mineralische Baustoffe / Zuschläge / Trockenschüttung;specific dataset;1;m3;b7032256-efe1-4ffe-b462-e49c43983ab9;Trockenschüttung - Cemwood GmbH - Ausgleichschüttung;;;320;;;;;true;true;true;true;40;Annahme: wie Holzfaserdämmung
e0ddceb1-806c-425b-b8fc-62a62bc5bc17;00.00.005;Tür - HT Laborẋ⦊횥뗧↞ GmbH - Drehtür;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;specific dataset;1;m3;5340af82-c0af-44d1-b609-99f27dfc1f3d;Tür - HT Laborẋ⦊횥뗧↞ GmbH - Drehtür;;101;25,25;0,04;;;;true;true;true;true;20;aus EPD
1d8ac430-ac11-4bc9-b302-e2278a9ef6f0;00.01.000;Holzfaserdämmstoffe im Trockenverfahren 110-200 kg/m³;Dämmstoffe / Holzfasern / Holzfaserdämmplatte;specific dataset;1;m3;fbe3a36a-0a2c-d728-54c6-b45e5e00dc99;Weichfaserplatte 200 kg/m³, pro m³;;;200;;;;0,005;true;true;true;true;40;
c83d501f-d07f-4434-9d5c-862a7e8a3026;00.01.000;Aluminiumprofil beschichtet;Metalle / Aluminium / Aluminiumprofil;average dataset;1;m3;7c0c3025-2dab-ff28-9374-e6a63c971550;Aluminiumprofil pulverbeschichtet;;;2700;;;;;true;true;false;true;50;wie Fensterrahmen Alu
c23b2987-776d-4d55-91c7-5f2a0f2c50f1;00.01.000;Aluminiumprofil anodisiert;Metalle / Aluminium / Aluminiumprofil;average dataset;1;m3;a4b1c6f9-b589-384d-8dc4-dc53ebacb559;Aluminiumprofil eloxiert;;;2700;;;;;true;true;false;true;50;wie Fensterrahmen Alu
10d750fe-bfb7-46fc-9a4a-a9b968fe1f4e;00.01.000;Aluminiumprofil pressblank;Metalle / Aluminium / Aluminiumprofil;average dataset;1;m3;4f403f09-b064-cfcf-e1fc-069ed85d4714;Aluminiumprofil pressblank;;;2700;;;;;true;true;false;true;50;wie Fensterrahmen Alu
d3dbba95-2921-4fa5-9b20-32f37c6c0793;00.01.000;binderholz Brettschichtholz BSH;Holz / Vollholz / Brettschichtholz (BSH);specific dataset;1;m3;47247009-ee61-4ab8-a912-dba5eb366468;1 m³ binderholz Brettschichtholz BSH;;;459,2;;;;0,0021777;true;true;false;true;100;Hartholz, bekleidet
afef8f9a-e598-41b8-8e90-33e7352c25a8;00.01.000;CLIMAFLEX® SPIRAL made of NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;588bc1e0-9d15-48dc-03c0-2814249458c4;CLIMAFLEX®SPIRAL made of NMC NATUREFOAM®;;;30;;;;;true;false;true;true;40;wie PE-Schaum
ab6a665e-1846-4ef0-88a8-8f4b2924f56a;00.02.000;CLIMAFLEX® aus NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;c70cf5d7-28f9-3673-c385-4f88a144831f;CLIMAFLEX® /M3;;;28;;;;;true;true;true;true;40;wie PE-Schaum
a564fa56-4723-4123-bbbd-2a8780c8c899;00.03.000;CLIMAFLEX® STABIL / EXENTROFLEX® COMPACT aus NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;bf874af3-1581-5f27-8651-6af6d424608f;CLIMAFLEX® STABIL / EXZENTROFLEX® COMPACT aus NMC NATUREFOAM®/M³;;;30,8;;;;;true;true;true;true;40;wie PE-Schaum
cd8eedda-6de4-4249-9c1f-55f88231fe9c;00.01.000;STEICO LVL;Holz / Holzwerkstoffe / Laminated Veneer Lumber (LVL);specific dataset;1;m3;52fc41b9-4c1e-9317-b21c-e88024299162;1 m³ STEICO LVL;;;550;;;;0,00181;true;true;false;true;100;Hartholz, bekleidet
