UUID;Name;Kategorie;Bezugsgroesse;Bezugseinheit;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Ergänzt;Quelle
8d06b1df-e898-4009-adee-57ca44aaafcc;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;1;qm;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;;
9179f12a-8fef-4319-a150-a6bb1286c37c;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;1;qm;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;;
d4680073-0c9c-40f4-842f-c6830856812c;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;1 m² Betonpflasterstein, 10 cm (225 kg/m²);;225;;0,1;;;0,0044;Schichtdicke;Referenzfluss-Name
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Betonpflasterstein 1 m² mit 12 cm Dicke;;270;;0,12;;;0,0037;Schichtdicke;Referenzfluss-Name
284efda1-bb16-453a-bc32-070f3bab4cb3;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;;135;;0,06;;;0,0074;Schichtdicke;Referenzfluss-Name
d9a1408e-b6bf-4fac-9b94-d89b580cc131;Fortrac® MPT;Kunststoffe / Folien und Vliese / Technische Textilien;1;qm;1 m2 geosynthetisches Gitter;;;;;;;2,75;;
de0c1710-057b-46ff-b6da-9fb26c113fa3;FW 50 BF.HI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;1;null;FW 50+ BF.HI B x H: 3050 mm x 3050 mm Additional Info from Xml: Die oberflächenbehandelten Aluminiumprofile werden auf Maß geschnitten und für die entsprechende Rahmengröße konfektioniert. Der dabei entstehende Verschnitt an Aluminiumprofilen wird dem Recycling zugeführt. Die Isolationsprofile werden mit den Aluminiumprofilen fest verbunden. Anschließend werden die Profile am Baukörper zu Rahmen fest verbunden und die Dichtungen in die vorgesehenen Nuten eingezogen. Danach wird die Verglasung eingesetzt und mit Verglasungsprofilen gesichert. In die Fassadenrahmenkonstruktion können auch fertige Fensterlemente Schüco AWS eingebaut werden. Abschließend erfolgt eine Funktionskontrolle. Technische Daten: Gemäß CE-Kennzeichnung sind für Feld 1 folgende bautechnische Daten für das Element zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist ein Fassadenelement mit der Größe 3050 mm x 3050 mm.;;;;;;;;;
a287ee57-814f-4a5d-bccd-64b207385f47;FWS 50 SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;1;null;Schüco FWS 50 B x H: 3050 mm x 3050 mm Additional Info from Xml: Die oberflächenbehandelten Aluminiumprofile werden auf Maß geschnitten und für die entsprechende Rahmengröße konfektioniert. Der dabei entstehende Verschnitt an Aluminiumprofilen wird dem Recycling zugeführt. Die Isolationsprofile werden mit den Aluminiumprofilen fest verbunden. Anschließend werden die Profile am Baukörper zu Rahmen fest verbunden und die Dichtungen in die vorgesehenen Nuten eingezogen. Danach wird die Verglasung eingesetzt und mit Verglasungsprofilen gesichert. In die Fassadenrahmenkonstruktion können auch fertige Fensterlemente Schüco AWS eingebaut werden. Abschließend erfolgt eine Funktionskontrolle. Technische Daten: Gemäß CE-Kennzeichnung sind für Feld 1 folgende bautechnische Daten für das Element zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist ein Fassadenelement mit der Größe 3050 mm x 3050 mm.;;;;;;;;;
18e5028c-9327-4429-92da-eb90ee5d05cc;Glasarmierungsgitter;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² Glasarmierungsgitter (Flächengewicht 160 g/m²);;0,16;;;;;6,25;;
a2b5b7c9-db13-4dbd-be23-b0ff9f0cbd98;Keramische Fliesen und Platten;Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;1;qm;1 m² durchschnittliche Fliese (18,65 kg/m²);;18,65;;;;;0,0536;;
58cd0d81-3a5c-43be-b94c-2979f4e30f80;pladur®;Metalle / Stahl und Eisen / Stahlbleche;1;qm;1 m² pladur®;;6,084;;;;;0,164;;
880e05ea-55c6-4346-a3ea-5af0e5f299e2;PU-Dämmplatten aus Blockschaumstoff;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU Blockschaum;1;qm;1 m² installierte PU-Dämmplatte aus Blockschaumstoff;;;33;;;;;;
e24a3ad6-9df3-4165-b8f0-393211a7838a;Rhepanol hfk;Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);1;qm;1 m² Dachbahn;;1,934;;;;;0,517;;
aa728ab7-e807-4cbf-9769-973a674cbe13;Rhepanol hfk-sk;Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);1;qm;1 m² Dachbahn;;2,139;;;;;0,468;;
00b700ef-2d55-4434-b91d-c97cc1f85d40;SCHÜCO ADS 75.SI;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;pcs.;Schüco ADS 75.SI B x H: 1100 mm x 2200 mm;;;;;;;;;
8db37c49-5e41-43b6-8c20-1bc646afda62;SCHÜCO ADS 80 FR 60;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;pcs.;Schüco ADS 80 FR 60 B x H: 1100 mm x 2200 mm;;;;;;;;;
6adf0159-37a0-47d0-86d4-54d193b1a3e1;SCHÜCO AWS 75.SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;1;pcs.;Schüco AWS 75.SI+ B x H: 1230 mm x 1480 mm;;;;;;;;;
4623cdde-5fb5-41ee-bda5-4ea48e9ebb3a;Stabilenka®;Kunststoffe / Folien und Vliese / Technische Textilien;1;qm;1 m2 geosynthetisches Gewebe;;;;;;;1,23;;
d4523d5d-6956-4717-99d4-9a7aa1ebde99;Tectofin RV;Kunststoffe / Dachbahnen / PVC-Dachbahnen;1;qm;1 m² Tectofin RV;;2;;;;;0,5;;
279613ea-381d-414d-9d35-a7622c3d4bf9;WDVS mit EPS Dämmplatte geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS, EPS geklebt, mit 160 mm Dämmstoffdicke, 13,8 kg/m²;;13,8;;0,16;;;0,072;Schichtdicke;Referenzfluss-Name
8d6e3557-1c45-458e-a7cd-2964d6339c7e;WDVS mit EPS geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS EPS geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 14,1 kg/m²;;14,1;;0,16;;;0,071;Schichtdicke;Referenzfluss-Name
cc522095-42b9-49ef-ae6e-2d39cd851513;WDVS mit Mineralfaser Dämmplatte geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS Mineralwolle, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 30,6 kg/m²;;30,6;;0,16;;;0,033;Schichtdicke;Referenzfluss-Name
3110be3a-bfc8-4c7b-96aa-b52cfe037f6d;WDVS mit Mineralfaser Lamellen- Dämmplatten geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS Mineralwolle-Lamelle geklebt, mit 180 mm Dämmstoffdicke, 31,1 kg/m²;;31,1;;0,18;;;0,032;Schichtdicke;Referenzfluss-Name
fa3a0f7d-842b-4161-a83e-04c690248185;WDVS mit Schienenbefestigung;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS EPS mit Schiene, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 10,9 kg/m²;;10,9;;0,16;;;0,092;Schichtdicke;Referenzfluss-Name
97c15191-118f-4b6b-a55a-e241ea1690a4;Wolfin M;Kunststoffe / Dachbahnen / PVC-Dachbahnen;1;qm;1 m² Wolfin M 1,5 mm;;2,02;;;;;0,495;;
10f0560b-4b39-484c-8159-a5545acc7ca3;BauderTHERMOFIN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;1;qm;1 m² BauderTHERMOFIN F (12/15/16/18/20) und F (15/18/20) V;;1,934;;;;;0,517;;
03998c02-90d1-41cd-9c68-83ffec88d125;PU-Dämmplatten mit Mineralvlies-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Mineralvlies;1;qm;1 m² installierte PU-Dämmplatte mit Mineralvlies-Deckschicht;;;31;;;;;;
b29f31dc-bf1b-4214-98b4-fc2b52165a86;PU-Dämmplatten mit 50 µm Aluminium-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;1;qm;1 m² installierte PU-Dämmplatte mit 50 µm Aluminium-Deckschicht;;;31;;;;;;
ee4fb7c2-6119-4f00-8cb6-fc74cb66fe9a;PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;1;qm;1 m² installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht;;;31;;;;;;
e920d325-c474-4ff4-b84a-531af01c7759;Admonter Massivholzmehrschichtprodukte;Holz / Vollholz / Brettschichtholzplatte;1;qm;1 m² Massivholzmehrschichtprodukt;;8,125;;;;;0,123;;
2ad0fca7-2c3d-4305-9be1-073a1b72b087;Isospan 1 Holzbetonmantelsteine mit Holzfaserdämmung OEKOPUR S 36,5/16,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 1 Holzbetonmantelsteine mit Holzfaserdämmung OEKOPUR S 36,5-16,5 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;79,5;218;;;;;Bezugseinheit;http://www.bau-epd.at/wp-content/uploads/2017/08/EPD_GaBi_Isospan-2017-1_OEKOPUR_20170809-oBeton.pdf
c0dea00e-60ed-497b-9b90-87b4d4e767e7;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 25/6 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 25/6 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;59,6;238;;;;;Bezugseinheit;siehe Link oben
b2226ee0-acb4-4eaf-a4a3-ff2fd24fdb62;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/5 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;69,2;231;;;;;Bezugseinheit;siehe Link oben
657cd1e6-1691-4eea-a853-1df984bcee01;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/7 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/7 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;70,8;236;;;;;Bezugseinheit;siehe Link oben
985a94db-d4ad-460c-bf5b-4d909a3d9075;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/9 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/9 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;70,2;234;;;;;Bezugseinheit;siehe Link oben
8ef6efbf-9a86-4c08-80aa-c9eb327f0804;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/13,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/13,5 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;67,8;186;;;;;Bezugseinheit;siehe Link oben
9b1f7394-fa8b-4364-baee-a8109d94660d;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/16,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/16,5 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;63,7;175;;;;;Bezugseinheit;siehe Link oben
f8cd76cb-b180-46cd-916a-bffb2fb341a4;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/5 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;87;238;;;;;Bezugseinheit;siehe Link oben
ca4bb781-7313-47a9-a566-4c60af01362e;Isospan 3 Holzbetonmantelsteine mit PU-Dämmung ISOPUR S 36,5/16,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 3 Holzbetonmantelsteine mit PU-Dämmung ISOPUR S 36,5/16,5 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt, in Formkästen gefüllt und die Dämmstoffeinlage zugegeben. ;;66,6;182;;;;;Bezugseinheit;siehe Link oben
8425d306-3cbc-44df-844d-f29a691de378;Isospan 4 Holzbetonmantelsteine Normalstein I 25 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 4 Holzbetonmantelsteine Normalstein I 25 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt und in Formkästen gefüllt.;;77,8;311;;;;;Bezugseinheit;siehe Link oben
8a78734f-63dc-4f49-8054-2de042f9b868;Isospan 4 Holzbetonmantelsteine Normalstein I 30 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 4 Holzbetonmantelsteine Normalstein I 30 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt und in Formkästen gefüllt.;;82,2;274;;;;;Bezugseinheit;siehe Link oben
404751ce-9ef4-466d-83db-78a4bdacc559;Isospan 4 Holzbetonmantelsteine Normalstein N 15 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 4 Holzbetonmantelsteine Normalstein N 15 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt und in Formkästen gefüllt.;;59;393;;;;;Bezugseinheit;siehe Link oben
98fc3019-6555-4742-9524-a55c3f47f6c9;Isospan 4 Holzbetonmantelsteine Normalstein N 18 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 4 Holzbetonmantelsteine Normalstein N 18 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt und in Formkästen gefüllt.;;49;272;;;;;Bezugseinheit;siehe Link oben
f3dafca9-7688-48ce-91f5-b77f6037e217;Isospan 4 Holzbetonmantelsteine Normalstein N 20 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 4 Holzbetonmantelsteine Normalstein N 20 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt und in Formkästen gefüllt.;;62,2;311;;;;;Bezugseinheit;siehe Link oben
983a5a12-fd92-4c9b-a6b6-6813230b1aca;Isospan 4 Holzbetonmantelsteine Normalstein N 22 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 4 Holzbetonmantelsteine Normalstein N 22 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt und in Formkästen gefüllt.;;60,8;276;;;;;Bezugseinheit;siehe Link oben
56545408-c87b-42a2-ae4c-37140cfa2c29;Isospan 4 Holzbetonmantelsteine Normalstein N 25 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 4 Holzbetonmantelsteine Normalstein N 25 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt und in Formkästen gefüllt.;;78;312;;;;;Bezugseinheit;siehe Link oben
0504b48b-81ca-47b4-bc7a-ecdaa6701cc9;Isospan 4 Holzbetonmantelsteine Normalstein TW 30 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;1;qm;Isospan 4 Holzbetonmantelsteine Normalstein TW 30 ohne Füllbeton Additional Info from Xml: Die Herstellung des Holzspanbetons erfolgt im Werk in Ramingstein. Dabei werden Holzspäne, Zement und Wasser gemischt und in Formkästen gefüllt.;;105,4;351;;;;;Bezugseinheit;siehe Link oben
79512d1c-6c63-4d30-b368-16b24737ddb1;Tensar TriAX TX 130 S-G Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;1;null;Tensar TriAX TX 130S-G Geogitter Additional Info from Xml: Die Herstellung des Geogitter erfolgt am Standort in Blackburn. Die Rohstoffe werden mittels Extrusion, Punching und Stretching Prozesse verarbeitet.;;0,281;;0,01;;;;;
30d039df-678c-4a2b-9b0d-0985348d9bc1;Tensar TriAX TX 130 S-GD Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;1;null;Tensar TriAX TX 130S-GD Geogitter Additional Info from Xml: Die Herstellung des Geogitter erfolgt am Standort in Blackburn. Die Rohstoffe werden mittels Extrusion, Punching und Stretching Prozesse verarbeitet.;;0,368;;0,01;;;;;
