UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
ba0e47ef-b04a-4bbb-bc9d-dafc7b72edc2;00.04.000;Dachziegel Neufahrn;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1000;null;c0b0efd4-5da0-5228-5d9a-4d9c594a0dfb;Tondachziegel;;46;2020;;;;0,001;A1-A3;297,3;5,21E-09;0,0399;0,467;0,047;5,21E-05;4699;436,2;0;436,2;4973;0;4973;0,3678;0;0;0,461;0,283;21,9;0,1093;0;0;0;0;0
36375bd3-f8d5-4291-9335-93d4f429ce70;00.04.000;MSH-Profile;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1000;m;0f42ea0d-3a1c-1a2f-e44a-5916fe05996f;1 lfm Stahlschutzplanke;;;7850;;;;0,001;A1-A3;2605,1;2,7244E-08;1,1635;8,3244;0,72878;0,00060494;26199;1228,8;0;1228,8;26973;0;26973;172;0;0;2,2654;0,066252;29,25;0,30756;0;0;0;0;0
36375bd3-f8d5-4291-9335-93d4f429ce70;00.04.000;MSH-Profile;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1000;m;0f42ea0d-3a1c-1a2f-e44a-5916fe05996f;1 lfm Stahlschutzplanke;;;7850;;;;0,001;C3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;990;0;0;0
36375bd3-f8d5-4291-9335-93d4f429ce70;00.04.000;MSH-Profile;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1000;m;0f42ea0d-3a1c-1a2f-e44a-5916fe05996f;1 lfm Stahlschutzplanke;;;7850;;;;0,001;D;-1684,1;1,2533E-08;-0,93392;-6,3513;-0,53593;-8,0698E-05;-15915;281,37;0;281,37;-15308;0;-15308;930;0;0;-1,1444;-0,0054016;-23,376;0,24059;0;0;0;0;0
5cb2c568-76fe-4803-8b46-0084e79800c8;00.06.000;Baustähle: Offene Walzprofile und Grobbleche;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1000;kg;83ebba89-7267-4196-188d-1399096213cc;1 Tonne Baustahl;;;7850;;;;0,001;A1-A3;1125;1,958E-09;0,4018;2,164;0,219;0,0004922;10200;1516;0;1516;11470;0;11470;786;0;0;4,186;1,058E-05;8,106;0,5013;0;0;0;0;0
5cb2c568-76fe-4803-8b46-0084e79800c8;00.06.000;Baustähle: Offene Walzprofile und Grobbleche;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1000;kg;83ebba89-7267-4196-188d-1399096213cc;1 Tonne Baustahl;;;7850;;;;0,001;C3;1,844;6,854E-12;0,0004008;0,005837;0,0006692;8,915E-07;20,42;10,92;0;10,92;32,19;0;32,19;0;0;0;0,0149;1,812E-07;10,04;0,004671;110;880;0;0;0
5cb2c568-76fe-4803-8b46-0084e79800c8;00.06.000;Baustähle: Offene Walzprofile und Grobbleche;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1000;kg;83ebba89-7267-4196-188d-1399096213cc;1 Tonne Baustahl;;;7850;;;;0,001;D;-413,4;1,617E-06;-0,1781;-0,8072;-0,0666;-0,0008922;-3936;19,75;0;19,75;-3973;0;-3973;0;0;0;-0,07153;-0,0001907;30,25;-0,05505;0;0;0;0;0
aaf4baca-7530-435b-8736-0bd3bb51e36d;20.19.120;ECB Kunststoff-Dachbahn nach DIN 16729 (mit PES Vlies);Kunststoffe / Dachbahnen / ECB-Dachbahnen (Ethylen-Copolymer-Bitumen);generic dataset;1,0014300346374512;qm;d3abb9b0-aa9b-4830-afad-350142b93213;ECB Kunststoff-Dachbahn (mit PES Vlies) [m2];;2,32;;;;;;A1-A3;8,23049;3,38742E-07;0,00222284;0,0158835;0,00158665;1,3165E-06;219,426;13,2632;0;13,2632;140,216;100,367;240,583;0;0;0;0,0121306;6,2879E-08;0,0600482;0,00558522;0;0;0;0;0
aaf4baca-7530-435b-8736-0bd3bb51e36d;20.19.120;ECB Kunststoff-Dachbahn nach DIN 16729 (mit PES Vlies);Kunststoffe / Dachbahnen / ECB-Dachbahnen (Ethylen-Copolymer-Bitumen);generic dataset;1,0014300346374512;qm;d3abb9b0-aa9b-4830-afad-350142b93213;ECB Kunststoff-Dachbahn (mit PES Vlies) [m2];;2,32;;;;;;C3;7,04063;4,93281E-15;7,28406E-05;0,000786179;0,000175047;5,13105E-08;3,01574;0,883681;0;0,883681;103,701;-100,367;3,33428;0;0;0;0,0173274;1,25383E-08;0,734946;0,000126188;0;0;0;13,1052;30,0886
aaf4baca-7530-435b-8736-0bd3bb51e36d;20.19.120;ECB Kunststoff-Dachbahn nach DIN 16729 (mit PES Vlies);Kunststoffe / Dachbahnen / ECB-Dachbahnen (Ethylen-Copolymer-Bitumen);generic dataset;1,0014300346374512;qm;d3abb9b0-aa9b-4830-afad-350142b93213;ECB Kunststoff-Dachbahn (mit PES Vlies) [m2];;2,32;;;;;;D;-3,2606;-7,55715E-14;-0,000280448;-0,00275438;-0,000522015;-8,11032E-07;-43,5332;-13,6667;0;-13,6667;-47,7015;0;-47,7015;0;0;0;-0,006375;-2,52305E-08;-0,0224673;-0,00165116;0;0;0;0;0
5662c927-cd47-46e5-b753-925db31b9870;20.19.120;Sonnenschutztuch;Kunststoffe / Folien und Vliese / Technische Textilien;generic dataset;1,2507699728012085;qm;d57a3095-a0ee-45d8-a338-a139486d5dc0;Textil-Sonnenschutz;;0,4;;;;;;A1-A3;4,194;7,82904E-14;0,000747697;0,00397519;0,00113086;9,06356E-07;72,848;14,0075;0;14,0075;64,9248;12,6078;77,5325;0;0;0;0,0135183;3,15579E-08;0,125115;0,00185569;0;0;0;0;0
5662c927-cd47-46e5-b753-925db31b9870;20.19.120;Sonnenschutztuch;Kunststoffe / Folien und Vliese / Technische Textilien;generic dataset;1,2507699728012085;qm;d57a3095-a0ee-45d8-a338-a139486d5dc0;Textil-Sonnenschutz;;0,4;;;;;;C3;1,10342;2,7771E-16;6,64711E-06;9,16315E-05;2,09385E-05;2,9551E-09;0,196786;0,0489741;0;0,0489741;12,8225;-12,6078;0,21473;0;0;0;0,00229445;1,6038E-10;0,00525622;7,10857E-06;0;0;0;1,33831;3,12561
5662c927-cd47-46e5-b753-925db31b9870;20.19.120;Sonnenschutztuch;Kunststoffe / Folien und Vliese / Technische Textilien;generic dataset;1,2507699728012085;qm;d57a3095-a0ee-45d8-a338-a139486d5dc0;Textil-Sonnenschutz;;0,4;;;;;;D;-0,335872;-7,71756E-15;-2,88553E-05;-0,000282775;-5,35614E-05;-8,29934E-08;-4,49378;-1,39574;0;-1,39574;-4,91947;0;-4,91947;0;0;0;-0,000651158;-2,59641E-09;-0,00230605;-0,000168624;0;0;0;0;0
